OBJECTID,GLOBAL_ID,AIRPORT_ID,DESIGNATOR,LENGTH,WIDTH,DIM_UOM,COMP_CODE,LIGHTACTV,LIGHTINTNS,AK_LOW,AK_HIGH,US_LOW,US_HIGH,US_AREA,PACIFIC,Shape__Area,Shape__Length
13607,FED17DDD-C192-427D-9734-7C16A6CD0CE8,0005A66F-F1F4-4CB9-89E5-D45E022E6188,07/25,2240,300,FT,GRASS,0,LIL,0,0,0,0,0,0,0.000275651,0.668320574
18755,BAE1ADB8-25BA-4E02-BE17-1F6AE90D8478,0007C470-4A51-4FBD-BFF9-7E325A388106,H1,45,45,FT,CONC,3,OTHER,0,0,0,0,0,0,2.17415E-08,0.000599166
9703,FFF003DF-9020-43EE-9A72-16748E92E394,0007ED82-8F73-48D7-A490-59C028E8408A,17/35,2700,300,FT,TURF+GRVL,,,0,0,0,0,0,0,0.000275651,0.668320574
12441,A6431C0A-453D-4D77-A5D6-E8F79D152EFB,0008440E-79CD-46D5-B872-F82FC4BC4150,H1,50,50,FT,ASPH,,,0,0,0,0,0,0,2.56889E-08,0.000648887
18197,E0B66CAD-DE06-4A12-B132-D6344529D484,000CF8AE-5998-4298-848D-1A7B34768D1A,03/21,3100,300,FT,GRASS,,,0,0,0,0,0,0,0.000275651,0.668320574
14954,82F20667-18DD-4A51-8EBD-295895AFA45B,000FE223-BB6B-48A5-BBBD-FDA880F451D2,H1,55,55,FT,CONC,,,0,0,0,0,0,0,2.7062E-08,0.000660376
23905,F7CCC04E-30DE-4A15-AFD9-806F1A0A1A01,0012FB3B-0ED5-4425-9DB6-3FDF5E0D9DD4,10/28,3417,60,FT,ASPH,,,0,0,1,0,0,0,1.89745E-06,0.022680581
1905,C1F1AE02-289A-4192-B3DF-2F39C6CACC78,00163995-AFE2-474E-B239-DCC661889D10,09/27,2036,30,FT,ASPH,,,0,0,0,0,0,0,5.45275E-07,0.013240228
4308,AFBDD50D-7A3F-4C29-94BD-5D394B228F9D,001AEE68-C419-496C-8D6C-95CF79403D67,08/26,1200,300,FT,GRASS,,,0,0,0,0,0,0,0.000275651,0.668320574
4309,66785F01-0EAE-459B-B9DF-7369D4C3551E,001AEE68-C419-496C-8D6C-95CF79403D67,13/31,1500,300,FT,GRASS,,,0,0,0,0,0,0,0.000275651,0.668320574
16207,7AEF62BD-95C9-49B3-8FFF-C6A6DD01A510,0025AF3F-3B67-47D9-ADAB-E51D8F235716,13/31,5506,100,FT,ASPH,2,LIM,0,0,1,1,0,0,4.72997E-06,0.032995896
11623,BF251AB4-28A4-4875-8982-A95096901A88,0027B608-FD4F-4EA5-880A-FD53E0C92842,H1,1300,700,FT,GRASS,,,0,0,0,0,0,0,8.99942E-06,0.012180651
8213,EF7D3325-9D5C-4701-AFCF-8B8D1D725437,002DD8BE-CA34-495E-A60B-2B7AF1C209EA,08/26,2613,75,FT,ASPH,2,LIM,0,0,1,1,0,0,2.05395E-06,0.019326567
8214,9E58FE2F-3687-4308-B1C9-75635B49085C,002DD8BE-CA34-495E-A60B-2B7AF1C209EA,17/35,5002,100,FT,ASPH,2,LIH,0,0,1,1,0,0,5.24186E-06,0.030688362
21371,E4405BE9-08E8-4C49-A325-1B5D90EF5989,003B8278-FB1C-4CC9-9E68-D79F9DA73DA6,H1,40,40,FT,ASPH,,,0,0,0,0,0,0,1.55078E-08,0.000502084
