country,country_name,dec_latitude,dec_longitude
SGS,South Georgia,-54.5,-37.0
GRD,Grenada,12.11666666,-61.66666666
CHE,Switzerland,47.0,8.0
SLE,Sierra Leone,8.5,-11.5
HUN,Hungary,47.0,20.0
TWN,Taiwan,23.5,121.0
WLF,Wallis and Futuna,-13.3,-176.2
BRB,Barbados,13.16666666,-59.53333333
PCN,Pitcairn Islands,-25.06666666,-130.1
CIV,Ivory Coast,8.0,-5.0
TUN,Tunisia,34.0,9.0
ITA,Italy,42.83333333,12.83333333
BEN,Benin,9.5,2.25
IDN,Indonesia,-5.0,120.0
CPV,Cape Verde,16.5388,-23.0418
KNA,Saint Kitts and Nevis,17.33333333,-62.75
LAO,Laos,18.0,105.0
BES,Caribbean Netherlands,12.18,-68.25
UGA,Uganda,1.0,32.0
AND,Andorra,42.5,1.5
BDI,Burundi,-3.5,30.0
ZAF,South Africa,-29.0,24.0
FRA,France,46.0,2.0
LBY,Libya,25.0,17.0
MEX,Mexico,23.0,-102.0
GAB,Gabon,-1.0,11.75
MNP,Northern Mariana Islands,15.2,145.75
MKD,North Macedonia,41.83333333,22.0
CHN,China,35.0,105.0
YEM,Yemen,15.0,48.0
BLM,Saint Barthélemy,18.5,-63.41666666
GGY,Guernsey,49.46666666,-2.58333333
SLB,Solomon Islands,-8.0,159.0
SJM,Svalbard and Jan Mayen,78.0,20.0
FRO,Faroe Islands,62.0,-7.0
UZB,Uzbekistan,41.0,64.0
EGY,Egypt,27.0,30.0
SEN,Senegal,14.0,-14.0
LKA,Sri Lanka,7.0,81.0
PSE,Palestine,31.9,35.2
BGD,Bangladesh,24.0,90.0
PER,Peru,-10.0,-76.0
SGP,Singapore,1.36666666,103.8
TUR,Turkey,39.0,35.0
AFG,Afghanistan,33.0,65.0
ABW,Aruba,12.5,-69.96666666
COK,Cook Islands,-21.23333333,-159.76666666
GBR,United Kingdom,54.0,-2.0
ZMB,Zambia,-15.0,30.0
FIN,Finland,64.0,26.0
NER,Niger,16.0,8.0
